instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,unused.vehi,cost.GA,cost.LP,gap,selection
HHCRSP_75_15_96_1.6_R_C,1.6_R_C,96,75,15,1.6,R,C,4,332.3,46.6667,612.070919949343,hardest
HHCRSP_75_15_25_0.4_C_C,0.4_C_C,25,75,15,0.4,C,C,0,246,112.334,118.989798280129,sample
HHCRSP_75_15_1_0.4_C_RC,0.4_C_RC,1,75,15,0.4,C,RC,0,447,192.335,132.406998206255,sample
HHCRSP_75_15_45_0.4_C_RC,0.4_C_RC,45,75,15,0.4,C,RC,0,373,151.667,145.933525420823,sample
HHCRSP_75_15_22_0.4_R_C,0.4_R_C,22,75,15,0.4,R,C,2,376.3,128,193.984375,sample
HHCRSP_75_15_31_0.4_R_R,0.4_R_R,31,75,15,0.4,R,R,0,403.3,169,138.639053254438,sample
HHCRSP_75_15_25_0.8_C_R,0.8_C_R,25,75,15,0.8,C,R,2,402.7,157.668,155.41010224015,sample
HHCRSP_75_15_80_0.8_C_RC,0.8_C_RC,80,75,15,0.8,C,RC,0,386.7,151.041,156.023198998947,sample
HHCRSP_75_15_18_1.0_C_C,1.0_C_C,18,75,15,1,C,C,0,197.7,88.3333,123.811405211851,sample
HHCRSP_75_15_78_1.0_R_RC,1.0_R_RC,78,75,15,1,R,RC,0,402.3,153.02,162.906809567377,sample
HHCRSP_75_15_70_1.2_C_R,1.2_C_R,70,75,15,1.2,C,R,0,494.3,152.333,224.486486841328,sample
HHCRSP_100_20_74_0.8_R_C,0.8_R_C,74,100,20,0.8,R,C,6,629.7,92,584.456521739131,hardest
HHCRSP_100_20_19_1.0_R_C,1.0_R_C,19,100,20,1,R,C,7,451.3,67.3333,570.247856558345,hardest
HHCRSP_100_20_44_1.2_R_C,1.2_R_C,44,100,20,1.2,R,C,6,560.7,82.3333,581.012421462519,hardest
HHCRSP_100_20_19_1.6_R_C,1.6_R_C,19,100,20,1.6,R,C,7,415.7,60.3333,589.005905528125,hardest
HHCRSP_100_20_31_1.6_R_C,1.6_R_C,31,100,20,1.6,R,C,6,479,72.6667,559.174009553207,hardest
HHCRSP_100_20_42_1.6_R_C,1.6_R_C,42,100,20,1.6,R,C,1,515,66.3388,676.317931587548,hardest
HHCRSP_100_20_44_1.6_R_C,1.6_R_C,44,100,20,1.6,R,C,3,556,78.3333,609.787536079803,hardest
HHCRSP_100_20_64_1.6_R_C,1.6_R_C,64,100,20,1.6,R,C,6,602,75.0026,702.638841853482,hardest
HHCRSP_100_20_76_1.6_R_C,1.6_R_C,76,100,20,1.6,R,C,4,531.7,58.3333,811.486235134992,hardest
HHCRSP_100_20_95_1.6_R_C,1.6_R_C,95,100,20,1.6,R,C,7,459,63.3333,624.737223545907,hardest
HHCRSP_100_20_34_0.4_C_C,0.4_C_C,34,100,20,0.4,C,C,0,365.7,158.333,130.968907302963,sample
HHCRSP_100_20_7_0.4_C_R,0.4_C_R,7,100,20,0.4,C,R,1,564,214,163.551401869159,sample
HHCRSP_100_20_22_0.8_C_RC,0.8_C_RC,22,100,20,0.8,C,RC,1,416.7,176,136.761363636364,sample
HHCRSP_100_20_92_1.0_C_C,1.0_C_C,92,100,20,1,C,C,2,188.7,79.3333,137.857242797161,sample
HHCRSP_100_20_3_1.6_C_C,1.6_C_C,3,100,20,1.6,C,C,2,213.7,87.3333,144.694749883492,sample
HHCRSP_100_20_26_1.6_C_R,1.6_C_R,26,100,20,1.6,C,R,0,564,223,152.914798206278,sample
HHCRSP_100_20_36_1.6_C_R,1.6_C_R,36,100,20,1.6,C,R,0,528.3,212.333,148.80729797064,sample
HHCRSP_100_20_70_1.6_C_R,1.6_C_R,70,100,20,1.6,C,R,0,519,193.333,168.448738704722,sample
HHCRSP_100_20_22_1.6_C_RC,1.6_C_RC,22,100,20,1.6,C,RC,1,405.3,155.333,160.923306702375,sample
HHCRSP_100_20_91_1.6_R_C,1.6_R_C,91,100,20,1.6,R,C,6,344.3,73.3333,369.500213409188,sample
HHCRSP_200_40_37_0.8_R_C,0.8_R_C,37,200,40,0.8,R,C,1,996.7,100.667,890.096059284572,hardest
HHCRSP_200_40_59_0.8_R_C,0.8_R_C,59,200,40,0.8,R,C,9,1336.3,114,1072.19298245614,hardest
HHCRSP_200_40_37_1.0_R_C,1.0_R_C,37,200,40,1,R,C,9,1059.3,96,1003.4375,hardest
HHCRSP_200_40_59_1.0_R_C,1.0_R_C,59,200,40,1,R,C,13,1005,98.3333,922.034244757371,hardest
HHCRSP_200_40_37_1.2_R_C,1.2_R_C,37,200,40,1.2,R,C,8,1305,81.3333,1504.50885430691,hardest
HHCRSP_200_40_48_1.2_R_C,1.2_R_C,48,200,40,1.2,R,C,14,1275,148.667,757.621395467723,hardest
HHCRSP_200_40_59_1.2_R_C,1.2_R_C,59,200,40,1.2,R,C,14,911,88,935.227272727273,hardest
HHCRSP_200_40_34_1.6_R_C,1.6_R_C,34,200,40,1.6,R,C,8,1039,121.667,753.97026309517,hardest
HHCRSP_200_40_59_1.6_R_C,1.6_R_C,59,200,40,1.6,R,C,15,805,80.3333,902.075104595479,hardest
HHCRSP_200_40_97_1.6_R_C,1.6_R_C,97,200,40,1.6,R,C,13,952,109.333,770.734361995006,hardest
HHCRSP_200_40_62_0.8_C_R,0.8_C_R,62,200,40,0.8,C,R,3,1030,320,221.875,sample
HHCRSP_200_40_87_0.8_C_R,0.8_C_R,87,200,40,0.8,C,R,2,1041.3,327,218.440366972477,sample
HHCRSP_200_40_12_0.8_C_RC,0.8_C_RC,12,200,40,0.8,C,RC,3,792.3,244,224.713114754098,sample
