instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_8.log,TL,7200.00,2820611,3660,4.0681008813e+02,6.6177467567e+02,34791,28379,376305
InstanzVNS_HCSRP_100_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_100_9.log,TL,7200.03,390357,610,4.3121634561e+02,9.6956043333e+02,59105,50153,704464
InstanzVNS_HCSRP_300_8.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_300_8.log,TL,7200.55,167451,483,6.1830116576e+02,1.7542038867e+03,1229685,1001137,24678703
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_3.log,TL,7200.01,1303853,1386,3.7951141238e+02,6.5025526063e+02,33999,27687,369112
InstanzCPLEX_HCSRP_10_6.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_10_6.log,OPT,0.11,1766,375,2.0009915890e+02,2.0009915890e+02,174,150,789
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_50_7.log,TL,7200.01,8132161,26149,3.6524553913e+02,5.2565460090e+02,12310,10291,111260
InstanzVNS_HCSRP_200_6.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_6.log,TL,7200.05,133829,510,4.9860900910e+02,1.4412971900e+03,364034,302902,5820717
InstanzCPLEX_HCSRP_10_8.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_10_8.log,OPT,0.07,880,175,2.3204877757e+02,2.3204877757e+02,145,124,596
InstanzVNS_HCSRP_300_3.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_300_3.log,TL,7200.16,286326,257,5.8477799107e+02,1.6081932733e+03,1235214,998102,24503494
InstanzVNS_HCSRP_300_1.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_300_1.log,TL,7200.18,258473,352,5.8456032874e+02,2.0369793633e+03,1318022,1068000,26209100
InstanzCPLEX_HCSRP_50_4.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_50_4.log,TL,7200.00,10291269,47961,3.6739786059e+02,5.1330876350e+02,8753,7454,74750
InstanzVNS_HCSRP_200_2.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_2.log,TL,7200.20,260895,505,5.3499328261e+02,1.4595230667e+03,435965,356103,7229897
